CPUBID,MPUBID,CRACE,CSEX,AFDC_1994,AFDC_1996,AFDC_1998,FOODSTAMPS_1994,FOODSTAMPS_1996,FOODSTAMPS_1998,FOODSTAMPS_2000,FOODSTAMPS_2002,FOODSTAMPS_2004,FOODSTAMPS_2006,FOODSTAMPS_2008,FOODSTAMPS_2010,FOODSTAMPS_2012,FOODSTAMPS_2014,FOODSTAMPS_2016,GED_EVER,HSDIPLOMA_EVER,PROFDEGREE_EVER,snap_ever,tanf_ever,program_group,edu_level,edu_label
5802,58,3,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,,2.0,Professional degree
5803,58,3,1.0,,,,,,,,,,,0.0,0.0,,,,0.0,1.0,0.0,,,,1.0,HS or GED
6101,61,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
6102,61,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
6103,61,3,1.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,No HS / GED
6201,62,3,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
6202,62,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
6203,62,3,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,No HS / GED
6801,68,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
6802,68,3,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
6803,68,3,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
7501,75,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
7502,75,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
7801,78,3,2.0,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
7802,78,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
7803,78,3,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
7804,78,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
8601,86,2,2.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,1.0,0.0,SNAP only,1.0,HS or GED
8901,89,2,2.0,,,,,,,,,,,,1.0,,,1.0,0.0,1.0,0.0,,,,1.0,HS or GED
