code,name
C0011526,INCSUP2004_2004
C0011527,CSCOMP2004_2004
C0011528,INMSUP2004_2004
C0011529,MSCOMP2004_2004
C0011530,INCSAS2004_2004
C0011531,CSASCOMP2004_2004
C0011533,CSMSORDER2004_2004
C0011534,CINTRV2006_2006
C0011535,MINTRV2006_2006
C0011536,INCSUP2006_2006
C0011537,CSCOMP2006_2006
C0011538,INMSUP2006_2006
C0011539,MSCOMP2006_2006
C0011541,CSASCOMP2006_2006
C0011543,CSMSORDER2006_2006
C0030400,AGEMOM1979_1979
C0031400,AGEMOM1980_1980
C0032000,AGEMOM1981_1981
C0033700,AGEMOM1982_1982
C0034700,AGEMOM1983_1983
C0035300,AGEMOM1984_1984
C0035900,AGEMOM1985_1985
C0036500,AGEMOM1986_1986
C0037100,AGEMOM1987_1987
C0037700,AGEMOM1988_1988
C0038205,AGEMOM1989_1989
C0038230,AGEMOM1990_1990
C0038231,AGEMOM1991_1991
C0038232,AGEMOM1992_1992
C0038233,AGEMOM1993_1993
C0038234,AGEMOM1994_1994
C0038235,AGEMOM1996_1996
C0038236,AGEMOM1998_1998
C0038237,AGEMOM2000_2000
C0038238,AGEMOM2002_2002
C0038239,AGEMOM2004_2004
C0038240,AGEMOM2006_2006
C0053500,HGCDOI1979_1979
C0053501,ATTSCH1979_1979
C0053502,HGCREV1979_1979
C0053600,ATTSCH1980_1980
C0054100,HGCDOI1980_1980
C0054101,HGCREV1980_1980
C0054600,ATTSCH1981_1981
C0055100,HGCDOI1981_1981
C0055101,HGCREV1981_1981
C0057000,ATTSCH1982_1982
C0057500,HGCDOI1982_1982
C0057501,HGCREV1982_1982
C0057600,ATTSCH1983_1983
C0058100,HGCDOI1983_1983
C0058101,HGCREV1983_1983
C0058200,ATTSCH1984_1984
C0058700,HGCDOI1984_1984
C0058701,HGCREV1984_1984
C0058800,ATTSCH1985_1985
C0059300,HGCDOI1985_1985
C0059301,HGCREV1985_1985
C0059400,ATTSCH1986_1986
C0059900,HGCDOI1986_1986
C0059901,HGCREV1986_1986
C0060000,ATTSCH1987_1987
C0060500,HGCDOI1987_1987
C0060600,ATTSCH1988_1988
C0061100,HGCDOI1988_1988
C0061101,ATTSCH1989_1989
C0061106,HGCDOI1989_1989
C0061107,ATTSCH1990_1990
C0061112,HGCDOI1990_1990
C0061113,ATTSCH1991_1991
C0061114,HGCDOI1991_1991
C0061115,ATTSCH1992_1992
C0061116,HGCDOI1992_1992
C0061117,ATTSCH1993_1993
C0061118,HGCDOI1993_1993
C0061119,ATTSCH1994_1994
C0061120,HGCDOI1994_1994
C0061121,ATTSCH1996_1996
C0061122,HGCDOI1996_1996
C0061123,ATTSCH1998_1998
C0061124,HGCDOI1998_1998
C0061125,ATTSCH2000_2000
C0061126,HGCDOI2000_2000
C0061127,ATTSCH2002_2002
C0061128,HGCDOI2002_2002
C0061129,ATTSCH2004_2004
C0061130,HGCDOI2004_2004
C0061131,ATTSCH2006_2006
C0061132,HGCDOI2006_2006
C0061133,HGCREV1987_1987
C0061134,HGCREV1988_1988
C0061135,HGCREV1989_1989
C0061136,HGCREV1990_1990
C0061137,HGCREV1991_1991
C0061138,HGCREV1992_1992
C0061139,HGCREV1993_1993
C0061140,HGCREV1994_1994
C0061141,HGCREV1996_1996
C0061142,HGCREV1998_1998
C0061143,HGCREV2000_2000
C0061144,HGCREV2002_2002
C0061145,HGCREV2004_2004
C0061146,HGCREV2006_2006
C0070001,SAMPLE-ID_1979
C0070004,SAMPWT79_1979
C0090000,SPOUSE1979_1979
C0090010,AGESPS1979_1979
C0090100,HGCSPS1979_1979
C0090200,PARTNR1979_1979
C0090210,AGEPTR1979_1979
C0090300,HGCPTR1979_1979
C0090400,MOMHH1979_1979
C0090500,DADHH1979_1979
C0090600,NHHMEM1979_1979
C0090700,NFAMEM1979_1979
C0090800,NFAMUN1979_1979
C0090900,NHCHLD1979_1979
C0091000,NH0_21979_1979
C0091100,NH3_51979_1979
C0091200,NH6_111979_1979
C0091300,NH12_171979_1979
C0091400,AGHYST1979_1979
C0091500,NHFCHD1979_1979
C0091600,NHADLT1979_1979
C0091700,NHADWK1979_1979
C0091800,NFADWK1979_1979
C0091900,NAHGC01979_1979
C0092000,NAHGC11979_1979
C0092100,NAHGC21979_1979
C0092200,NAHGC31979_1979
C0092300,NHFADT1979_1979
C0092400,NHMADT1979_1979
C0092500,NADFMM1979_1979
C0092600,NRSKID1979_1979
C0092700,NBISIB1979_1979
C0092900,AGRYST1979_1979
C0093000,AGFAMY1979_1979
C0093100,SPOUSE1980_1980
C0093110,AGESPS1980_1980
C0093200,HGCSPS1980_1980
C0093300,PARTNR1980_1980
C0093310,AGEPTR1980_1980
C0093400,HGCPTR1980_1980
C0093500,MOMHH1980_1980
C0093600,DADHH1980_1980
C0093700,NHHMEM1980_1980
C0093800,NFAMEM1980_1980
C0093900,NFAMUN1980_1980
C0094000,NHCHLD1980_1980
C0094100,NH0_21980_1980
C0094200,NH3_51980_1980
C0094300,NH6_111980_1980
C0094400,NH12_171980_1980
C0094500,AGHYST1980_1980
C0094600,NHFCHD1980_1980
C0094700,NHADLT1980_1980
C0094800,NHADWK1980_1980
C0094900,NFADWK1980_1980
C0095000,NAHGC01980_1980
C0095100,NAHGC11980_1980
C0095200,NAHGC21980_1980
C0095300,NAHGC31980_1980
C0095400,NHFADT1980_1980
C0095500,NHMADT1980_1980
C0095600,NADFMM1980_1980
C0095700,NRSKID1980_1980
C0095800,NBISIB1980_1980
C0096000,AGRYST1980_1980
C0096100,AGFAMY1980_1980
C0096200,SPOUSE1981_1981
C0096210,AGESPS1981_1981
C0096300,HGCSPS1981_1981
C0096400,PARTNR1981_1981
C0096410,AGEPTR1981_1981
C0096500,HGCPTR1981_1981
C0096600,MOMHH1981_1981
C0096700,DADHH1981_1981
C0096800,NHHMEM1981_1981
C0096900,NFAMEM1981_1981
C0097000,NFAMUN1981_1981
C0097100,NHCHLD1981_1981
C0097200,NH0_21981_1981
C0097300,NH3_51981_1981
C0097400,NH6_111981_1981
C0097500,NH12_171981_1981
C0097600,AGHYST1981_1981
C0097700,NHFCHD1981_1981
C0097800,NHADLT1981_1981
C0097900,NHADWK1981_1981
C0098000,NFADWK1981_1981
C0098100,NAHGC01981_1981
C0098200,NAHGC11981_1981
